"Team_name","Team_url","Team_AB","Team_R","Team_H","Team_Doubles","Team_Triples","Team_HR","Team_RBI","Team_TB","Team_BB","Team_SO","Team_SB","Team_AVG","Team_OBP","Team_SLG","Team_OPS"
"Houston Astros","https://www.espn.com/mlb/team/_/name/hou/houston-astros","5,613","920","1,538","323","28","288","891","2,781","645","1,166","67",".274",".352",".495",".848"
"Minnesota Twins","https://www.espn.com/mlb/team/_/name/min/minnesota-twins","5,732","939","1,547","318","23","307","906","2,832","525","1,334","28",".270",".338",".494",".832"
"Boston Red Sox","https://www.espn.com/mlb/team/_/name/bos/boston-red-sox","5,770","901","1,554","345","27","245","857","2,688","590","1,382","68",".269",".340",".466",".806"
"New York Yankees","https://www.espn.com/mlb/team/_/name/nyy/new-york-yankees","5,583","943","1,493","290","17","306","904","2,735","569","1,437","55",".267",".339",".490",".829"
"Colorado Rockies","https://www.espn.com/mlb/team/_/name/col/colorado-rockies","5,660","835","1,502","323","41","224","803","2,579","489","1,503","71",".265",".326",".456",".782"
"Washington Nationals","https://www.espn.com/mlb/team/_/name/wsh/washington-nationals","5,512","873","1,460","298","27","231","824","2,505","584","1,308","116",".265",".342",".454",".796"
"Pittsburgh Pirates","https://www.espn.com/mlb/team/_/name/pit/pittsburgh-pirates","5,657","758","1,497","315","38","163","722","2,377","425","1,213","64",".265",".323",".420",".743"
"Chicago White Sox","https://www.espn.com/mlb/team/_/name/chw/chicago-white-sox","5,529","708","1,443","260","20","182","676","2,289","378","1,549","63",".261",".314",".414",".728"
"Atlanta Braves","https://www.espn.com/mlb/team/_/name/atl/atlanta-braves","5,560","855","1,432","277","29","249","824","2,514","619","1,467","89",".258",".336",".452",".789"
"Los Angeles Dodgers","https://www.espn.com/mlb/team/_/name/lad/los-angeles-dodgers","5,493","886","1,414","302","20","279","861","2,593","607","1,356","57",".257",".338",".472",".810"
"New York Mets","https://www.espn.com/mlb/team/_/name/nym/new-york-mets","5,624","791","1,445","280","17","242","767","2,485","516","1,384","56",".257",".328",".442",".770"
"Tampa Bay Rays","https://www.espn.com/mlb/team/_/name/tb/tampa-bay-rays","5,628","769","1,427","291","29","217","730","2,427","542","1,493","94",".254",".325",".431",".757"
"Chicago Cubs","https://www.espn.com/mlb/team/_/name/chc/chicago-cubs","5,461","814","1,378","270","26","256","783","2,468","581","1,460","45",".252",".333",".452",".785"
"Arizona Diamondbacks","https://www.espn.com/mlb/team/_/name/ari/arizona-diamondbacks","5,633","813","1,419","288","40","220","778","2,447","540","1,360","88",".252",".325",".434",".759"
"Cleveland Indians","https://www.espn.com/mlb/team/_/name/cle/cleveland-indians","5,425","769","1,354","286","18","223","731","2,345","563","1,332","103",".250",".323",".432",".756"
"Oakland Athletics","https://www.espn.com/mlb/team/_/name/oak/oakland-athletics","5,561","845","1,384","292","23","257","800","2,493","578","1,338","49",".249",".329",".448",".777"
"Texas Rangers","https://www.espn.com/mlb/team/_/name/tex/texas-rangers","5,540","810","1,374","296","24","223","765","2,387","534","1,578","131",".248",".319",".431",".750"
"Los Angeles Angels","https://www.espn.com/mlb/team/_/name/laa/los-angeles-angels","5,542","769","1,368","268","21","220","734","2,338","586","1,276","65",".247",".324",".422",".746"
"Kansas City Royals","https://www.espn.com/mlb/team/_/name/kc/kansas-city-royals","5,496","691","1,356","281","40","162","655","2,203","456","1,405","117",".247",".309",".401",".710"
"Milwaukee Brewers","https://www.espn.com/mlb/team/_/name/mil/milwaukee-brewers","5,542","769","1,366","279","17","250","744","2,429","629","1,563","101",".246",".329",".438",".767"
"Baltimore Orioles","https://www.espn.com/mlb/team/_/name/bal/baltimore-orioles","5,596","729","1,379","252","25","213","698","2,320","462","1,435","84",".246",".312",".415",".727"
"Philadelphia Phillies","https://www.espn.com/mlb/team/_/name/phi/philadelphia-phillies","5,571","774","1,369","311","26","215","742","2,377","562","1,453","78",".246",".319",".427",".746"
"St. Louis Cardinals","https://www.espn.com/mlb/team/_/name/stl/st-louis-cardinals","5,449","764","1,336","246","24","210","714","2,260","561","1,420","116",".245",".324",".415",".739"
"Cincinnati Reds","https://www.espn.com/mlb/team/_/name/cin/cincinnati-reds","5,450","701","1,328","235","27","227","679","2,298","492","1,436","80",".244",".317",".422",".738"
"Miami Marlins","https://www.espn.com/mlb/team/_/name/mia/miami-marlins","5,512","615","1,326","265","18","146","593","2,065","395","1,469","55",".241",".298",".375",".673"
"Detroit Tigers","https://www.espn.com/mlb/team/_/name/det/detroit-tigers","5,549","582","1,333","292","41","149","556","2,154","391","1,595","57",".240",".296",".388",".684"
"San Francisco Giants","https://www.espn.com/mlb/team/_/name/sf/san-francisco-giants","5,579","678","1,332","300","26","167","655","2,185","475","1,435","47",".239",".304",".392",".696"
"San Diego Padres","https://www.espn.com/mlb/team/_/name/sd/san-diego-padres","5,391","682","1,281","224","24","219","652","2,210","504","1,581","70",".238",".308",".410",".718"
"Seattle Mariners","https://www.espn.com/mlb/team/_/name/sea/seattle-mariners","5,500","758","1,305","254","28","239","730","2,332","588","1,581","115",".237",".316",".424",".740"
"Toronto Blue Jays","https://www.espn.com/mlb/team/_/name/tor/toronto-blue-jays","5,493","726","1,299","270","21","247","697","2,352","509","1,514","51",".236",".305",".428",".733"